Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Amount
2022/09/01 00:03,38905,805B2DCD0,1439,805B32870,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:16,31935,805BA4D20,210700,805BA4C80,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:26,34290,805B9C030,3500,805BA6350,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,36442,805CE24C0,5572,805CE1ED0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:28,316230,805D45A50,16456,805D45A00,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:19,2196,806048EC0,2196,806048EC0,0.8,Euro,0.94,US Dollar,ACH,0,0.94
2022/09/01 00:03,316309,806254790,22435,806254060,0.16,US Dollar,0.16,US Dollar,ACH,0,0.16
2022/09/01 00:13,31509,806260710,213123,806253A00,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:03,33165,806367F70,26179,806367F20,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:09,314514,80675DBA0,16456,80675D6F0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,31776,806ADFE30,217862,806ADFDE0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:28,37197,806AF2420,217862,806ACE840,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:05,318530,8039AF5A0,11222,806B2D970,0.05,US Dollar,0.05,US Dollar,ACH,0,0.05
2022/09/01 00:00,317400,806C3B030,317400,806C3B030,0.03,US Dollar,2.88,Yen,ACH,0,0.02066886751830056
2022/09/01 00:17,314730,806D9EEC0,14648,806D9DB10,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:26,37402,806DC39A0,29448,806DC4030,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:12,31739,806E45D90,24317,806DCC360,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:27,3862,807040A60,4894,807040F90,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:16,319375,80704C230,215191,80704C190,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,319401,80706C410,5572,806FF6660,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,319600,80717EE90,113002,80716B200,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:22,312061,8072FCCD0,119593,8072FCBE0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,31814,807403CD0,24523,807403C30,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,31684,80753DA70,15875,80753D430,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,316036,8075827A0,2196,807582A60,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:18,38048,8075D47C0,11,8075D3350,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,319009,80768DF00,219705,80769C460,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:26,316969,8076C14E0,6314,8076C01B0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,33352,807AD2ED0,216796,807AD0FB0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:16,3888,807B1A6E0,116473,807B1A640,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,36449,807C9E410,119593,807CB09F0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:16,322339,8081BFB30,115966,8081BF650,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:26,318138,8082D74E0,21063,8082D7BF0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:10,313404,808382620,215187,808382350,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,313296,80848EDC0,13210,8084930A0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:20,321028,8087A2730,117694,8087A22B0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:15,323364,8087BABA0,122996,8087BB130,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:10,312407,808BC3950,217226,808BC3810,0.06,US Dollar,0.06,US Dollar,ACH,0,0.06
2022/09/01 00:00,317628,808D3E8B0,29448,808D3E410,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:06,11255,805660D50,215721,808D34CD0,0.94,US Dollar,0.94,US Dollar,ACH,0,0.94
2022/09/01 00:24,325587,80950C230,110856,809509850,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:24,31999,8095AF920,220822,80958BF10,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,312407,809D69910,15355,809D695F0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,316711,809E73350,21547,809E70B50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:14,314788,809E7C8A0,16262,809E7BB50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:27,313438,80A01FAA0,2545,80A01E2E0,0.35,US Dollar,0.35,US Dollar,ACH,0,0.35
2022/09/01 00:18,32056,809FF1510,218057,809FF1150,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:24,326909,80A0663C0,5855,80A057920,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:19,327535,80A071E80,216492,80A06E310,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:17,319766,80A14A080,25242,80A14AA50,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:19,318824,80A45CD40,220916,80A45C0F0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,31510,80A5698A0,8488,80A569670,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:27,328414,80A594780,1,80A595B50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,328618,80A6A7C10,219054,80A6A81D0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,32465,80A977940,22086,80A9778F0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:22,320582,80A9EF590,213123,80A9E5E90,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:06,329939,80ADE3B70,1217,80ADE3AD0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:00,11701,8010EEE10,11305,80AE76E10,0.48,US Dollar,0.48,US Dollar,ACH,0,0.48
2022/09/01 00:21,324346,80AF303F0,11968,80AF30670,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:06,330175,80AF7EAA0,127980,80AF81B90,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,329925,80B38D610,5687,80B2F9980,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:26,328564,80B3A0770,215107,80B3A0720,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:07,319638,80B4D4C10,22086,80B4D4D00,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:08,31883,80B6D3ED0,22106,80B6D4CA0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,110856,8085317B0,11046,80B7D1450,0.83,US Dollar,0.83,US Dollar,Wire,0,0.83
2022/09/01 00:00,317574,80B8D2BA0,6045,80B8D01C0,0.05,US Dollar,0.05,US Dollar,ACH,0,0.05
2022/09/01 00:11,3549,80BB1CD70,1889,80BB1B100,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:08,332170,80BB33270,15194,80BB320A0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:00,313969,80C358110,124049,80C34F3B0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:14,330802,80C4EB610,227639,80C4ED0E0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:00,310443,80C5898C0,231948,80C586E70,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:16,331576,80C767AC0,8106,80C76C130,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:21,33855,80C8F19A0,1639,80C8F23C0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:09,333340,80CF3A100,1120,80CF3C930,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:12,319867,80D0387C0,119174,80D03B410,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:29,337491,80D91D6A0,18990,80D91D5B0,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:22,325766,80D99FFB0,20,80D9A0000,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:19,37730,80DA3D7D0,221024,80DA5E260,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:09,34037,80DC93BF0,214107,80DC932C0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:00,226624,80DC8E520,226624,80DC8E520,4.58,Brazil Real,0.81,US Dollar,ACH,0,0.81
2022/09/01 00:06,338444,80DE8A6B0,15680,80DE84000,0.05,US Dollar,0.05,US Dollar,ACH,0,0.05
2022/09/01 00:15,335748,80E16CE80,335748,80E16CE80,0.03,US Dollar,0.03,UK Pound,ACH,0,0.03477373887240356
2022/09/01 00:25,328005,80E267AF0,219054,80E263600,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,325101,80E939390,136580,80E934140,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:16,35365,80E9C2B80,222470,80E9D6120,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,335888,80EB53DB0,219975,80EB51DC0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:17,321717,80EB5D290,25443,80EB5CF70,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:00,340862,80ECEF8F0,138580,80ECB4510,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:15,33746,80EF529E0,139835,80EF566A0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:24,34872,80F3B35F0,28393,80F3A4D80,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:01,342383,80F596BC0,28958,80F596B20,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:29,342516,80F690550,234717,80F690070,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:02,342152,80FB850E0,5855,80FB83AF0,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:23,316672,80FB91690,5617,80FB91640,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:01,343315,80FB7D550,22661,80FB902D0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:04,31667,80FD78F90,222470,80FD7D500,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:15,331096,80FF4B350,221284,80FF360B0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:23,321475,8100314F0,115943,8100314A0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,319868,8100221B0,3718,810020030,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:13,320764,810C281E0,124222,810C282D0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,327038,810CDD3E0,226659,810CDD390,0.15,US Dollar,0.15,US Dollar,ACH,0,0.15
2022/09/01 00:20,318169,810D642D0,124049,810D65080,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:10,318839,811129F90,12966,811129F40,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,347511,8114012E0,212996,8114051B0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:17,317375,8118FCD00,47642,8118FBFE0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:23,348727,811AEBAB0,8801,811B4FF60,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,317101,811BB9AF0,238579,811BBAEC0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:07,311684,811BE2840,115771,811BE27F0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:20,340292,811C89E80,119973,811C88E50,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:05,322155,811EF1810,234717,811EF1F80,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:13,320434,81258A700,113016,81258DC20,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:25,338925,8125DBE60,19589,8125DBE10,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:12,346144,812AF7060,1217,812AF4D90,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:14,329487,812D80EF0,28958,812D82EA0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:14,31787,812D6B8F0,219975,812D88900,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,35219,813060440,18081,813060490,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:19,333287,81365BFA0,236897,81365BC90,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:08,312432,81398A470,31286,81398CFF0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:24,31999,8139A1BF0,133620,8139A1BA0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:04,32123,8141B99B0,22364,8141B9910,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:02,343314,81434E0D0,124126,81434ED40,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:01,353573,8147708B0,5206,81477BD40,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,351687,814AB34B0,2545,814AB3A40,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:00,320556,814B7B590,28168,814B78E50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:28,344100,81508DC30,238824,81508D260,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:29,319494,81557C3F0,238352,815554D20,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,358649,81565EB20,58361,81565EA80,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:06,316217,8159C4E10,118699,8159C4DC0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:00,318993,815E26100,3597,815E2CC10,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:14,313181,815EF8D30,19561,815EF8CE0,0.19,US Dollar,0.19,US Dollar,ACH,0,0.19
2022/09/01 00:28,328350,8160F2760,16866,8160F2FC0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,321562,8161CCB10,49280,8161E7010,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,317183,8161E3A80,35798,8161E7320,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,335847,816411110,118536,816429720,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,310439,8164F7B80,18840,8164F1840,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:06,340128,81689A7D0,113002,816945400,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:07,361892,81693B580,33296,81693BF70,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:06,361908,816952190,31286,816950D00,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:16,315317,816AABED0,22129,816C1AA20,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:27,342419,816E7EA40,18324,816E7E780,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,33103,816ED4230,222559,816ED2320,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:12,38474,816FC5420,219788,816FC9180,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:08,338493,816F15380,338493,816F15380,0.01,US Dollar,0.01,Canadian Dollar,ACH,0,0.0076103500761035
2022/09/01 00:07,327520,81724EA90,3389,81724E450,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:05,338020,8178A96A0,159853,8178A9B50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,349816,817EF5CA0,3597,817EF5B10,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:10,336624,81822C190,143641,81822B430,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:14,348062,8182B9B70,1422,8182C1B80,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:28,331576,8188CD6E0,2860,8188CCF40,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:28,322520,81895C550,1812,81895C500,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:07,367556,80CCD9C40,18656,818B995C0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:09,334893,818BDF260,8106,818BDED60,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,367769,818D03F90,13354,818D04A90,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:15,36304,818F1BF20,210700,818F1BE80,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:07,343315,81908BE10,146287,819082700,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:01,31012,8194A1410,166516,8194A6060,0.32,US Dollar,0.32,US Dollar,ACH,0,0.32
2022/09/01 00:18,348786,81958C2E0,216796,81958BE10,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:02,31776,80CE6F3B0,231651,80CE6F450,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:05,339495,8197E5490,339495,8197E5490,0.03,US Dollar,0.04,Canadian Dollar,ACH,0,0.030441400304414
2022/09/01 00:03,336191,819AB36F0,16262,819B0D350,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:23,362749,819B419F0,124049,819B68FB0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:01,34217,819D132C0,247270,819D14BB0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,329858,819DB9FC0,140981,819DB5F50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:20,315794,81A581460,166679,81A581820,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:19,361892,81A5D7510,15355,81A5D74C0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:26,329287,81A9A5EC0,22435,81A9A5E70,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,351666,81AE54C90,63363,81AE54D80,0.06,US Dollar,0.06,US Dollar,ACH,0,0.06
2022/09/01 00:27,373521,81AEDB730,246655,81AEDAE40,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:19,373648,81AF765A0,31363,81AF76550,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:27,3862,81B0BE1A0,36830,81B0B8460,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,344022,81B13ED50,262622,81B135D80,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,372585,81B27E8D0,26894,81B26D740,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:10,323969,81B607A20,323969,81B607A20,0.01,US Dollar,0.41,Rupee,ACH,0,0.005154444765724199
2022/09/01 00:20,346816,81B619320,70588,81B618AB0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,334723,81B642FD0,334723,81B642FD0,0.01,US Dollar,0.01,UK Pound,ACH,0,0.011591246290801186
