From Bank,Account,To Bank,Account.1,Amount Paid
20,80014AE90,20,80014AE90,15.59
224,8001547E0,224,8001547E0,13.36
1231,800157000,1231,800157000,12.74
20,800157050,20,800157050,18.1
1217,800157140,1217,800157140,6.71
11,800136600,11,800136600,6.59
1231,8001578C0,223057,80D9FB240,30.33
20,800110060,20,800110060,23.32
20,8001595D0,20,8001595D0,6.02
20,8001598E0,20,8001598E0,16.8
11,80015A6D0,11,80015A6D0,24.68
1,8001591C0,1,8001591C0,22.08
224,80015E880,224,80015E880,20.75
20,80015EFB0,20,80015EFB0,5.55
20,8001608A0,20,8001608A0,23.66
1,800161140,1,800161140,10.2
20,800161370,20,800161370,5.57
12,80015E0E0,114954,80B6D3F70,2.01
20,80015F7E0,20,80015F7E0,5.64
20,80015FA50,20,80015FA50,4.38
224,800162E50,224,800162E50,15.22
1231,800162EA0,1231,800162EA0,9.45
12,8001240D0,12,8001240D0,9.25
12,800134CA0,12,800134CA0,17.58
20,800135820,20,800135820,7.03
1231,800135870,1231,800135870,4.78
1231,800157E80,210700,809DEDD20,15.9
12,800166100,12,800166100,20.93
20,8001685D0,20,8001685D0,17.07
1,800169890,228752,80B46C8D0,6.85
20,80016D940,20,80016D940,6.97
1231,8001708D0,1231,8001708D0,7.09
1291,800170340,1291,800170340,13.4
224,80016F860,224,80016F860,20.34
1291,80016F9A0,1291,80016F9A0,15.53
1,80016F9F0,1439,801533E70,37.62
20,800173570,20,800173570,16.38
12,800173C20,12,800173C20,18.28
12,8001744F0,12,8001744F0,16.32
1291,8001755E0,1291,8001755E0,10.02
1217,8001784C0,1217,8001784C0,14.26
12,8001788F0,12,8001788F0,19.83
1217,8001793F0,1217,8001793F0,9.37
20,80017A020,10416,80CAD1270,6.7
20,800179890,20,800179890,13.5
1,800121280,22129,80452AB90,37.27
1,80016CCF0,1,80016CCF0,7.37
1291,80016D220,1291,80016D220,3.85
20,80016F460,20,80016F460,7.23
1231,8001738D0,1231,8001738D0,14.47
1231,800174C60,1231,800174C60,7.46
1291,80017AF40,1291,80017AF40,22.0
20,80017AF90,20,80017AF90,10.85
3200,8001808E0,3200,8001808E0,8.42
1217,8001813F0,349,800914EA0,48.63
1291,800181970,22435,805FB0930,18.67
1,800182720,1,800182720,21.34
20,800183110,20,800183110,20.06
1,80010CD00,1,80010CD00,9.86
11,800186390,11,800186390,17.34
12,800186F10,12,800186F10,9.92
20,80018A190,20,80018A190,22.16
1217,80018B2E0,1217,80018B2E0,24.65
12,80018B720,12,80018B720,21.92
224,80018CB10,224,80018CB10,3.58
20,80018DBF0,20,80018DBF0,24.68
1,80018FAF0,1,80018FAF0,18.15
11,800191640,11,800191640,18.71
20,800192300,20,800192300,3.51
3264,800195980,3264,800195980,21.0
1217,800194B60,1217,800194B60,5.66
12,800194C00,12,800194C00,9.89
12,800194DE0,27155,804397DC0,4.49
12,8001976D0,12,8001976D0,11.54
11,800197E20,11,800197E20,24.94
12,800198630,12,800198630,9.16
1,8001A0FF0,1,8001A0FF0,4.52
1231,800182310,20,8001B9370,7.28
20,8001BF780,20,8001BF780,6.36
20,8001BFBB0,20,8001BFBB0,22.64
1,8001C2120,1,8001C2120,17.77
20,8001C2EA0,20,8001C2EA0,12.72
1231,8001CFA80,1231,8001CFA80,24.34
20,8001D0010,20,8001D0010,25.48
11,8001C8400,11,8001C8400,9.27
12,8001C88C0,12,8001C88C0,4.49
11,8001CECF0,11,8001CECF0,23.43
1217,8001CF010,1217,8001CF010,15.54
20,8001D0010,20,8001D0010,20.96
11,8001D03C0,1639,806C15F60,5.14
12,8001D07E0,12,8001D07E0,17.68
1217,8001C6DB0,1217,8001C6DB0,15.62
12,8001C7030,17831,80A3F69C0,24.62
20,8001C4620,20,8001C4620,15.49
1217,8001C6420,1217,8001C6420,5.22
11,8001C66A0,11,8001C66A0,9.93
224,8001C68C0,224,8001C68C0,13.74
12,8001D5A20,12,8001D5A20,11.09
1,8001D8BA0,1,8001D8BA0,9.96
1231,8001D4F70,1231,8001D4F70,24.73
20,8001D5C60,20,8001D5C60,11.84
1291,8001D6750,1291,8001D6750,23.92
1,8001D4560,1,8001D4560,10.17
20,8001D45B0,20,8001D45B0,13.26
224,8001DC0F0,224,8001DC0F0,18.21
20,800132C60,11,8001DC570,47.77
11,8001DD390,11,8001DD390,4.91
11,8001DD430,150020,8142A4320,5.97
1231,8001553C0,1231,8001553C0,15.55
1,800190B90,1,800190B90,21.26
224,800190C30,224,800190C30,23.95
11,800192110,11,800192110,13.47
1217,8001DE9E0,22481,806173480,38.08
20,8001270F0,20,8001270F0,10.03
20,8001E28A0,20,8001E28A0,18.36
11,800188570,11,800188570,13.28
1217,80015DF80,1217,80015DF80,19.88
20,8001E51F0,20,8001E51F0,16.06
1,8001E5580,1,8001E5580,20.07
349,800148F70,349,800148F70,7.09
1291,8001E8FE0,37524,8154B9EB0,16.56
1291,8001EA4E0,1291,8001EA4E0,14.06
1291,8001EC290,1291,8001EC290,14.3
12,8001EF1C0,5621,80A4D1DD0,46.79
349,8001EFF20,349,8001EFF20,24.23
20,8001F0570,1639,8005A8360,11.16
1,8001F22D0,1,8001F22D0,20.74
20,8001F3590,20,8001F3590,7.32
1291,8001F5140,1291,8001F5140,6.08
1231,8001F5860,1231,8001F5860,12.95
1217,8001F5DD0,1217,8001F5DD0,8.19
1,8001F7B70,1,8001F7B70,10.72
1291,8001F83B0,1291,8001F83B0,5.78
12,8001F6BD0,12,8001F6BD0,22.14
20,8001F46C0,20,8001F46C0,5.22
1291,8001F5AD0,1291,8001F5AD0,14.04
224,8001F9AB0,224,8001F9AB0,14.23
11,8001FB7F0,11,8001FB7F0,4.82
20,8001FB090,20,8001FB090,8.87
3358,8001FE130,12,8001FDFF0,0.04
12,8001FDFF0,12,8001FDFF0,10.37
12,8001DB710,1231,8001FE9F0,18.95
1231,8001FFDF0,1231,8001FFDF0,13.7
1217,800200300,1217,800200300,22.92
1,800201570,1,800201570,8.89
1217,800201980,1217,800201980,16.77
12,800202580,12,800202580,4.22
1,800203760,1,800203760,6.48
1217,800203E20,1217,800203E20,11.14
224,800205290,224,800205290,15.83
1217,800207F40,1217,800207F40,9.75
1291,8002077B0,1291,8002077B0,16.97
224,800208C30,224,800208C30,9.34
20,800209BF0,20,800209BF0,10.08
1394,800209FA0,1394,800209FA0,5.96
11,80020BC30,11,80020BC30,13.06
20,80020C830,20,80020C830,10.48
1291,8001FDDA0,1291,8001FDDA0,12.04
12,800202D80,12,800202D80,20.91
12,80020CA20,12,80020CA20,9.36
1291,80020EB80,12,8005B5580,36.63
1231,80020FD50,1231,80020FD50,26.15
20,800212880,20,800212880,11.54
349,800214110,349,800214110,8.45
20,800215680,20,800215680,18.44
1231,800215200,1231,800215200,20.28
1217,800215470,1217,800215470,19.7
349,800216650,349,800216650,7.68
1,800217910,1,800217910,14.67
349,800217DC0,349,800217DC0,15.8
394,800218630,394,800218630,5.4
224,800218D50,224,800218D50,3.84
20,800219130,210472,809E285E0,6.9
1394,800219C70,1394,800219C70,7.63
394,800219F80,394,800219F80,20.79
1231,8002197E0,226436,80C980D10,17.69
349,80021A8B0,349,80021A8B0,3.26
3356,8001ED030,20,8001069C0,0.01
224,8001091D0,224,8001091D0,10.18
1231,8001E3E50,1231,8001E3E50,10.29
224,8001FA960,224,8001FA960,8.27
1,8001FAE00,1,8001FAE00,15.09
11,8001FCBA0,11,8001FCBA0,4.6
1394,80021E5D0,1394,80021E5D0,12.32
394,800220080,394,800220080,20.52
11,800221550,11,800221550,14.16
20,800223E30,20,800223E30,13.51
1,8002240A0,1,8002240A0,10.41
12,800224400,12,800224400,12.74
20,800225400,20,800225400,15.45
20,800225970,20,800225970,10.9
1231,800223510,1231,800223510,13.39
20,800225780,1291,803EA2610,7.0
12,800227E60,12,800227E60,14.13
20,8002284A0,20,8002284A0,8.11
11,80022AE20,11,80022AE20,10.26
1422,80022C4D0,1422,80022C4D0,3.76
1291,80022E2A0,24216,8189A3C40,0.96
1394,80022F410,1394,80022F410,9.28
349,80020D100,349,80020D100,11.32
12,80022FF50,12,80022FF50,21.53
20,80005A340,1,800230B30,48.37
1394,80022BAD0,1394,80022BAD0,22.85
20,80022BB70,20,80022BB70,7.3
394,80022BC60,394,80022BC60,11.42
349,80022BD00,349,80022BD00,9.74
224,80022FD20,224,80022FD20,17.47
11,80022B1E0,11,80022B1E0,12.79
349,8002441E0,349,8002441E0,18.5
394,800244D10,394,800244D10,4.02
1217,800245310,1217,800245310,21.17
1394,800245BC0,1394,800245BC0,14.43
20,800247A30,20,800247A30,3.7
11,800247DE0,11,800247DE0,20.94
349,800249990,349,800249990,16.3
394,80024C950,394,80024C950,6.68
1422,80024D550,1422,80024D550,5.61
1422,800243770,31730,80FDEB4A0,6.27
1422,800249430,1422,800249430,17.41
1291,80024A9A0,212996,80B0B3930,4.68
12,80024C710,12702,8058571D0,14.8
1422,8002712C0,1422,8002712C0,6.2
224,800275720,224,800275720,8.69
1291,8002760A0,1291,8002760A0,21.98
1217,8001E4480,1217,8001E4480,3.29
20,800283EE0,20,800283EE0,22.29
394,800284880,394,800284880,7.6
394,800233050,394,800233050,7.0
1231,800284D50,219054,814765CA0,39.94
3358,800286810,394,800286860,0.01
1394,800285D90,1394,800285D90,22.99
349,800283C00,349,800283C00,13.07
20,8002972C0,20,8002972C0,22.11
1422,8002B7750,1422,8002B7750,21.69
394,8002B7930,394,8002B7930,10.37
20,8002B8890,20,8002B8890,17.82
394,8002B9350,394,8002B9350,11.15
394,8002B9BD0,394,8002B9BD0,20.72
1,8002BA860,1,8002BA860,3.36
1231,800297080,1231,800297080,17.7
394,8002B7F20,394,8002B7F20,3.47
1,8002B8AD0,1,8002B8AD0,9.12
11,8002B8C60,11,8002B8C60,20.91
224,8002BA3F0,224,8002BA3F0,12.34
1,8002BBDF0,1,8002BBDF0,6.45
11,8002BED80,11,8002BED80,4.89
20,8002BF660,20,8002BF660,11.84
20,8002C0BD0,20,8002C0BD0,4.61
12,8002C0C20,12,8002C0C20,20.64
1231,8002C1680,1231,8002C1680,6.24
12,8002C32E0,8801,805135A70,38.64
349,8002C50A0,349,8002C50A0,11.44
1217,8002C9F10,1217,8002C9F10,17.92
20,8002CBEA0,20,8002CBEA0,16.43
20,8002CDFB0,20,8002CDFB0,19.86
1422,8002CF660,1422,8002CF660,19.67
11,8002C6D40,11,8002C6D40,3.84
349,8002C7A90,349,8002C7A90,20.44
349,8002C7FE0,349,8002C7FE0,17.38
1291,8002C9740,1291,8002C9740,19.99
1394,8002CAE40,1394,8002CAE40,13.96
349,8002CD010,349,8002CD010,6.38
12,8002CD100,12,8002CD100,4.58
1422,8002CE4A0,113213,8088AA300,42.59
11,8002D0BA0,11,8002D0BA0,22.45
349,8002D1B90,349,8002D1B90,13.12
1291,8002D27C0,1291,8002D27C0,3.45
1394,8002D2E80,1394,8002D2E80,4.8
1291,8002C2E00,1291,8002C2E00,7.69
1422,8002C3E40,1422,8002C3E40,19.43
1291,8002C4480,1291,8002C4480,15.91
12,8002D8CE0,12,8002D8CE0,4.93
3394,8002DBDE0,394,8002DBCA0,0.01
1217,8002DB050,232406,80EB62280,8.11
20,8002DB1E0,20,8002DB1E0,18.79
20,8002DCA30,20,8002DCA30,11.67
394,8002DD320,394,8002DD320,19.27
1231,8002DF0D0,1231,8002DF0D0,10.14
394,8002DEE90,394,8002DEE90,14.55
20,8002E0FE0,20,8002E0FE0,14.56
3412,8002DE980,20,8002DFD20,0.01
3522,8002E13E0,224,8002E2070,0.01
1231,8002E1390,1231,8002E1390,16.31
224,8002E1CB0,224,8002E1CB0,7.5
1291,8002E1D50,1291,8002E1D50,17.72
224,8002E2070,224,8002E2070,17.79
531,8002E2420,531,8002E2420,20.06
531,8002E52D0,531,8002E52D0,18.15
1422,8002E5780,1422,8002E5780,22.24
394,8002C1040,394,8002C1040,13.42
11,8002E5F50,11,8002E5F50,12.98
1231,8002E6F50,212518,8142A39F0,21.16
1231,8002E9080,1231,8002E9080,6.13
1291,8002EA9C0,1291,8002EA9C0,10.52
1291,8002EDD80,1291,8002EDD80,3.06
1422,8002EEE50,1422,8002EEE50,3.56
394,8002F0280,394,8002F0280,14.56
11,8002F0750,11,8002F0750,17.77
394,8002F55D0,394,8002F55D0,8.44
1,8002F56C0,1,8002F56C0,11.12
349,8002F7290,349,8002F7290,7.07
11,8002F6F60,11,8002F6F60,23.55
224,8002F75F0,224,8002F75F0,10.28
1291,8002F8E20,1291,8002F8E20,5.36
1394,8002F95A0,1394,8002F95A0,18.4
1422,8002FC550,1422,8002FC550,19.83
1231,8002FC5A0,1231,8002FC5A0,19.34
1231,8002FE210,1231,8002FE210,12.35
224,8002FFE60,224,8002FFE60,16.84
3440,8002F0EB0,1291,8002EE260,0.08
20,800295B30,20,800295B30,22.88
1394,8002E8DF0,1394,8002E8DF0,17.03
1217,8002EA550,1217,8002EA550,14.57
1,8002EACA0,1,8002EACA0,7.04
1291,8002EB680,1291,8002EB680,19.72
1217,8002EB6D0,1217,8002EB6D0,23.96
394,8002EFD20,394,8002EFD20,22.6
20,8002F0CD0,24523,80D7C0560,12.43
11,8002F0DC0,11,8002F0DC0,12.58
349,8002F1040,349,8002F1040,23.05
224,8002F6B00,224,8002F6B00,11.06
20,8002F6B50,20,8002F6B50,22.74
1,8002F9E20,1,8002F9E20,10.04
531,8002FA050,531,8002FA050,21.49
1422,800300960,1422,800300960,3.24
12,8003012D0,12,8003012D0,13.87
1291,80030AAE0,1291,80030AAE0,4.07
1,80030D060,1,80030D060,3.72
20,80030DD60,20,80030DD60,12.25
3549,80030E830,1217,80030E290,0.01
12,800319F40,12,800319F40,20.69
3560,80031F950,1,80031F2F0,0.01
224,80031E420,224,80031E420,5.41
3549,80031DC70,224,80031AEB0,0.04
224,80031AEB0,224,80031AEB0,4.69
1291,80031DA90,152229,818B59D60,38.91
12,800320F30,12,800320F30,20.27
1217,800319420,1217,800319420,8.31
1394,80032BE20,1394,80032BE20,19.06
12,800334D80,12,800334D80,12.82
1422,800335840,1422,800335840,10.57
1422,800354AB0,1422,800354AB0,17.61
11,800353770,11,800353770,9.42
1394,80035C880,1394,80035C880,20.89
11,80035D100,11,80035D100,5.0
1422,800363E20,1422,800363E20,17.38
1422,800366DB0,1422,800366DB0,9.16
1422,8003670D0,16262,806CCBBC0,15.76
531,800368690,531,800368690,21.94
394,800368F90,394,800368F90,15.07
224,800368A90,224,800368A90,3.63
11,800368D10,11,800368D10,18.97
1231,80036AD20,1231,80036AD20,6.95
1394,80036BA20,1394,80036BA20,7.54
11,80036B6A0,11,80036B6A0,14.43
1217,80036C000,1217,80036C000,23.22
1217,80036C220,1217,80036C220,20.15
224,80036DDF0,224,80036DDF0,17.91
12,80036EB60,12,80036EB60,9.68
20,80036FDF0,20,80036FDF0,22.02
1394,800370C70,1394,800370C70,7.02
1231,800371120,1231,800371120,23.86
1639,800372BD0,1639,800372BD0,21.44
1394,800372C70,1394,800372C70,9.26
11,8003750E0,11,8003750E0,12.55
224,8003765A0,224,8003765A0,12.48
12,80036B2D0,12,80036B2D0,8.07
1,8003727E0,1,8003727E0,24.21
349,800373C20,349,800373C20,11.64
1422,800373DB0,1422,800373DB0,12.0
224,800375960,224,800375960,11.22
1217,8003759B0,229026,80FD50550,6.98
1394,8003763A0,1394,8003763A0,18.49
224,800376A60,224,800376A60,14.79
394,800379980,394,800379980,9.31
1394,800379A20,1394,800379A20,7.35
1231,800379FA0,1231,800379FA0,5.01
1,80037C5D0,1,80037C5D0,17.49
531,800365E10,531,800365E10,14.96
11,800366170,11,800366170,10.01
394,8003682A0,21260,801765440,26.17
1639,800369680,1639,800369680,13.42
1639,800379780,1639,800379780,7.64
531,80037F130,531,80037F130,19.26
349,80037EF40,349,80037EF40,13.57
1291,80037F660,1,801105C20,31.04
349,800390BC0,349,800390BC0,14.26
1217,800391030,1217,800391030,20.63
1639,800394000,1639,800394000,4.58
1291,800391FB0,1291,800391FB0,8.75
1639,800394E70,1639,800394E70,24.62
394,80038F340,394,80038F340,4.56
1422,80038F390,1422,80038F390,21.71
20,800390570,20,800390570,7.27
20,80039FD90,20,80039FD90,5.38
224,8003A3D40,224,8003A3D40,8.84
1639,8003A6310,1639,8003A6310,18.41
224,8003A74A0,224,8003A74A0,22.35
1394,8003A7A10,29448,803A70810,35.26
394,8003AB800,394,8003AB800,14.86
394,8003B23C0,394,8003B23C0,9.19
3394,8003C1BF0,349,8003C0E80,0.01
11,8003CF770,11,8003CF770,19.33
11,8003D0920,11,8003D0920,18.59
1422,8003D4190,1422,8003D4190,9.18
349,8003D4570,349,8003D4570,6.34
1231,8003D7F00,1231,8003D7F00,5.78
349,8003D8900,349,8003D8900,20.75
11,8003DC270,11,8003DC270,8.25
531,8003DE2A0,531,8003DE2A0,1.54
1291,8003DDB50,1291,8003DDB50,14.92
20,8003DFA10,20,8003DFA10,11.74
3648,8003DCD50,224,8003E0200,0.01
224,8003E0200,224,8003E0200,19.54
224,8003E0340,224,8003E0340,16.37
20,8003E03E0,22661,8084B1190,44.31
20,8003E0430,20,8003E0430,11.51
12,8003E0570,11265,80AB7D4A0,14.63
1422,8003E31E0,1422,8003E31E0,7.61
1291,8003E4ED0,1291,8003E4ED0,11.09
3695,8003E5F60,20,8003E59C0,0.02
349,8003E5BF0,349,8003E5BF0,14.83
531,8003E5EC0,153578,815A9E400,38.63
349,8003E64C0,349,8003E64C0,10.86
12,8003E7F70,12,8003E7F70,16.39
1217,8003E9440,1217,8003E9440,22.71
12,8003E8E90,12,8003E8E90,22.51
1,8003E96B0,1,8003E96B0,21.29
394,8003EADE0,394,8003EADE0,12.71
1291,8003EB7B0,1291,8003EB7B0,13.29
1422,8003EC690,1422,8003EC690,3.18
1422,8002F7E60,1422,8002F7E60,6.04
3612,8003EE310,1394,8003EDDC0,0.12
531,8003EA620,531,8003EA620,15.77
1394,8003ECB30,21260,814ABE1C0,24.51
1639,8003ECCC0,221024,809573C40,7.15
1231,8003ED070,21260,814ABE1C0,35.29
531,8003ED160,531,8003ED160,13.96
12,8003ED430,12,8003ED430,20.63
531,8003E3720,27175,80CC70D30,22.16
349,8003E2D70,349,8003E2D70,16.29
12,8003E2F00,12,8003E2F00,22.19
20,8003DC020,20,8003DC020,18.03
20,8003F39C0,20,8003F39C0,4.8
349,8003F4C40,349,8003F4C40,5.64
1,8003F73A0,1,8003F73A0,14.94
11,8003FD280,11,8003FD280,7.26
20,8003FE780,20,8003FE780,21.94
394,8003FFD50,394,8003FFD50,4.31
11,8003FDB90,22890,80C67B5A0,49.28
349,8003FDBE0,349,8003FDBE0,8.46
1394,80040B510,1394,80040B510,13.07
531,80040B790,531,80040B790,9.31
1422,80040D0C0,37524,81B8FF800,8.36
394,800415280,394,800415280,17.71
531,800417A00,531,800417A00,10.42
1394,80041BBC0,1394,80041BBC0,8.33
3730,80041A030,3730,80041A030,39.57
1291,800419980,1291,800419980,19.46
394,800419CE0,394,800419CE0,19.83
531,80041D860,531,80041D860,21.93
12,8003F6E00,12,8003F6E00,18.7
1231,8003F7DD0,1231,8003F7DD0,5.62
20,800420460,20,800420460,20.79
1,8004209F0,1,8004209F0,11.19
349,80041F5A0,349,80041F5A0,20.96
1422,80041FE30,1422,80041FE30,12.9
20,800421690,20,800421690,13.85
1422,800421B90,1422,800421B90,12.35
1217,800422EE0,1217,800422EE0,24.3
1217,800424120,1217,800424120,8.64
1639,800425040,1639,800425040,24.11
1639,8004250E0,1639,8004250E0,16.87
1231,80042E240,1231,80042E240,8.21
20,80042D1E0,20,80042D1E0,11.5
11,80042D370,11,80042D370,12.53
11,80042D460,11,80042D460,4.67
11,80042D730,11,80042D730,18.43
1,800445A90,1,800445A90,19.91
1,8004A06F0,2368,80B3B7BE0,0.1
11,8004A1460,11,8004A1460,3.04
20,8004A9D60,20,8004A9D60,3.78
20,8004AC930,20,8004AC930,21.41
1394,8004AB0F0,1394,8004AB0F0,15.85
1231,8004AC2E0,1231,8004AC2E0,14.44
1394,8004AC330,1394,8004AC330,13.62
1231,8004AC5B0,1231,8004AC5B0,6.28
20,8004AC6F0,20,8004AC6F0,14.59
20,8004AEA20,20,8004AEA20,23.83
20,800422BB0,20,800422BB0,14.92
12,8004231A0,1231,815B7BCB0,5.74
1394,800423D90,5572,805E5C340,19.7
531,8004AE0E0,531,8004AE0E0,15.85
20,8003F3730,20,8003F3730,8.44
224,8004B42C0,224,8004B42C0,8.28
20,8004B65D0,20,8004B65D0,8.55
